date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:05:59	12269/12269	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:23%20GMT	https://templates.envytheme.com/depan/rtl/register.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/register.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:00	11685/11685	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:20%20GMT	https://templates.envytheme.com/depan/rtl/error-404.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/error-404.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:01	16536/16536	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:23%20GMT	https://templates.envytheme.com/depan/rtl/terms-of-service.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/terms-of-service.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:01	16530/16530	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:23%20GMT	https://templates.envytheme.com/depan/rtl/privacy-policy.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/privacy-policy.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:02	2924/2924	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:19%20GMT	https://templates.envytheme.com/depan/rtl/coming-soon.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/coming-soon.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:03	15142/15142	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:20%20GMT	https://templates.envytheme.com/depan/rtl/contact.html	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/contact.html	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:05	114425/114425	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44f1-1bef9%22	https://templates.envytheme.com/depan/rtl/assets/img/main-news/main-news-1.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/main-news/main-news-1.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:06	81736/81736	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44f1-13f48%22	https://templates.envytheme.com/depan/rtl/assets/img/main-news/main-news-2.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/main-news/main-news-2.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:08	43213/43213	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44f1-a8cd%22	https://templates.envytheme.com/depan/rtl/assets/img/main-news/main-news-3.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/main-news/main-news-3.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
08:06:09	36873/36873	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44f1-9009%22	https://templates.envytheme.com/depan/rtl/assets/img/main-news/main-news-4.jpg	C:/Users/mehrad/Desktop/TopNoj/themes/blog/blog/templates.envytheme.com/depan/rtl/assets/img/main-news/main-news-4.jpg	(from https://templates.envytheme.com/depan/rtl/index.html)
